"","NEST","YEAR","TREATMENT"
"1","100",2014,1
"2","100",2016,1
"3","100",2017,0
"4","100",2016,0
"5","130",2016,0
"6","110",2016,1
"7","119",2014,0
"8","119",2015,1
"9","119",2014,1
"10","119",2015,0
"11","12",2014,0
"12","12",2015,1
"13","12",2017,0
"14","130",2015,1
"15","130",2016,1
"16","147",2017,0
"17","18",2017,0
"18","19",2013,1
"19","19",2015,0
"20","19",2016,0
"21","19",2017,0
"22","1",2015,0
"23","1",2016,1
"24","1",2017,1
"25","20",2014,1
"26","20",2015,1
"27","20",2014,0
"28","22",2013,0
"29","22",2017,0
"30","23",2013,0
"31","23",2016,1
"32","23",2017,0
"33","28",2013,1
"34","28",2014,1
"35","28",2017,1
"36","28",2014,0
"37","30",2015,0
"38","30",2016,0
"39","30",2017,1
"40","30",2015,1
"41","31",2013,0
"42","31",2016,1
"43","31",2017,1
"44","33",2013,1
"45","33",2014,0
"46","33",2017,1
"47","33",2015,1
"48","35",2014,1
"49","35",2015,0
"50","35",2013,0
"51","39",2013,1
"52","39",2015,0
"53","3",2016,1
"54","41",2016,0
"55","41",2016,1
"56","42",2016,0
"57","42",2016,1
"58","44",2014,0
"59","47",2014,1
"60","4",2013,1
"61","4",2015,1
"62","4",2016,1
"63","50",2014,1
"64","51",2014,1
"65","51",2016,1
"66","51",2017,0
"67","53",2015,0
"68","53",2016,1
"69","58",2016,0
"70","58",2017,0
"71","59",2014,1
"72","59",2015,1
"73","59",2016,0
"74","59",2017,1
"75","5",2017,1
"76","63",2016,1
"77","63",2017,1
"78","67",2013,1
"79","67",2014,0
"80","67",2015,0
"81","67",2014,1
"82","72",2013,0
"83","72",2014,0
"84","72",2015,1
"85","72",2014,1
"86","75",2014,0
"87","75",2015,0
"88","75",2017,0
"89","75",2016,0
"90","75",2013,0
"91","76",2014,1
"92","76",2014,0
"93","77",2013,0
"94","77",2014,0
"95","77",2016,0
"96","77",2016,1
"97","78",2014,0
"98","78",2016,0
"99","78",2017,1
"100","78",2016,1
"101","79",2013,1
"102","79",2014,1
"103","79",2014,0
"104","7",2013,0
"105","85",2014,1
"106","85",2015,0
"107","85",2014,0
"108","85",2013,1
"109","88",2014,0
"110","89",2016,1
"111","89",2017,0
"112","89",2015,0
"113","8",2013,0
"114","8",2015,1
"115","8",2016,0
"116","8",2017,0
"117","95",2015,1
"118","95",2017,0
"119","97",2014,1
"120","97",2016,1
"121","97",2017,1
"122","97",2016,0
"123","98",2013,0
"124","98",2017,0
